movie_id,title,release_date,budget,revenue,runtime,vote_average,vote_count,popularity,genres
11778,The Deer Hunter,1978-12-08,15000000,49000000,183,8.0,4089,6.4911,"['Drama', 'War']"
11878,Yojimbo,1961-04-25,0,0,110,8.09,1612,3.1297,"['Drama', 'Thriller']"
11881,Miracle on 34th Street,1947-06-04,630000,2700000,96,7.366,813,11.5304,"['Comedy', 'Drama', 'Family']"
11929,Dolores Claiborne,1995-03-24,13000000,46400000,132,7.269,840,39.1376,"['Crime', 'Drama', 'Mystery']"
12104,Pink Floyd: The Wall,1982-07-14,12000000,22244207,95,7.941,1596,2.358,"['Music', 'Drama']"
12153,White Chicks,2004-06-23,37000000,113100000,109,6.938,4348,14.1634,"['Comedy', 'Crime']"
12445,Harry Potter and the Deathly Hallows: Part 2,2011-07-12,125000000,1341511219,130,8.083,21530,21.0259,"['Adventure', 'Fantasy']"
12477,Grave of the Fireflies,1988-04-16,3700000,842132,89,8.445,6248,0.0098,"['Animation', 'Drama', 'War']"
12493,High and Low,1963-03-01,250000,0,142,8.343,1059,3.8657,"['Drama', 'Crime']"
12536,Home Alone 4,2002-11-03,0,0,84,4.499,1338,15.9845,"['Comedy', 'Family', 'TV Movie']"
12610,Osmosis Jones,2001-08-10,75000000,13596911,95,6.502,1060,17.1771,"['Adventure', 'Animation', 'Action', 'Comedy', 'Family', 'Science Fiction']"
12761,Autumn Sonata,1978-10-08,0,0,93,7.987,673,4.7493,['Drama']
13223,Gran Torino,2008-12-12,33000000,270000000,116,7.99,11255,4.7441,['Drama']
13398,Tokyo Godfathers,2003-12-05,0,607735,92,7.922,1439,5.8544,"['Animation', 'Drama', 'Comedy']"
13494,Red Sonja,2025-07-31,0,265091,111,5.737,158,16.205,"['Adventure', 'Action', 'Fantasy']"
14160,Up,2009-05-28,175000000,735103954,96,7.96,21178,15.3143,"['Animation', 'Comedy', 'Family', 'Adventure']"
14537,Harakiri,1962-09-15,0,0,135,8.4,1139,4.3741,"['Action', 'Drama', 'History']"
14696,Ugetsu,1953-03-26,0,0,96,8.002,626,1.9392,"['Fantasy', 'Drama', 'Mystery']"
