movie_id,title,release_date,budget,revenue,runtime,vote_average,vote_count,popularity,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Comedy,Genre_Crime,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Music,Genre_Mystery,Genre_Romance,Genre_ScienceFiction,Genre_Thriller,Genre_War,Genre_Western
694,The Shining,1980-05-23,19000000,44781695,144,8.206,18438,16.1616,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
705,All About Eve,1950-11-09,1400000,8402553,139,8.075,1638,2.1073,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
745,The Sixth Sense,1999-08-06,40000000,672800000,107,7.947,12451,10.13,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
752,V for Vendetta,2006-02-23,54000000,134686457,132,7.898,15186,7.7735,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
767,Harry Potter and the Half-Blood Prince,2009-07-15,250000000,933959197,153,7.682,20354,25.9548,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
769,GoodFellas,1990-09-12,25000000,47072327,145,8.453,13867,17.1875,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
770,Gone with the Wind,1939-12-15,4000000,402352579,233,7.918,4260,8.3753,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
772,Home Alone 2: Lost in New York,1992-11-15,18000000,358994850,120,6.775,10317,58.4862,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
804,Roman Holiday,1953-08-26,1500000,12000000,119,7.889,2192,4.4542,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
807,Se7en,1995-09-22,33000000,327311859,127,8.379,22406,18.3795,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
808,Shrek,2001-05-18,60000000,488628188,90,7.754,18221,26.431,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
809,Shrek 2,2004-05-19,150000000,935454538,92,7.304,13089,14.9954,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0
821,Judgment at Nuremberg,1961-12-18,3000000,10000000,191,8.0,891,3.6372,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
829,Chinatown,1974-06-20,6000000,30000000,130,7.915,4108,5.6488,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
